id;numero;date_facture;date_echeance;montant_total;commentaire;statut_paiement
1;Hybride drelin;2023-08-02T17:31:23;2023-08-02T04:11:09;30018;Homme Artisanal;EN_RETARD_DE_PAIEMENT
2;la;2023-08-02T12:33:04;2023-08-02T12:00:50;5;Béton molestiae Essence;PAYEE
3;Homme Électronique Blues;2023-08-01T19:26:07;2023-08-02T10:48:07;8873;Pop athlète Auvergne;PARTIELLEMENT_PAYEE
4;laudantium;2023-08-01T19:34:14;2023-08-01T21:06:35;2939;Variété Electronique;PAYEE
5;voluptates;2023-08-02T10:17:46;2023-08-02T00:42:27;24594;Fromage cot Est;PARTIELLEMENT_PAYEE
6;Pays dépôt Homme;2023-08-01T21:42:46;2023-08-02T04:41:21;6018;Analyste Architecte Acier;PAYEE
7;Pop Rap Jeux;2023-08-02T13:52:20;2023-08-01T23:44:00;6317;fleurir;EN_ATTENTE_DE_PAIEMENT
8;quelque;2023-08-02T12:47:38;2023-08-02T02:07:45;6279;Saucisses Savon;PARTIELLEMENT_PAYEE
9;Technicien Ergonomique;2023-08-02T14:41:59;2023-08-02T18:51:57;14165;bleu Essence que;PARTIELLEMENT_PAYEE
10;Draisienne;2023-08-02T05:00:14;2023-08-02T16:56:08;24773;Clavier SUV Hong;PARTIELLEMENT_PAYEE
